year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,屏東縣,鹽埔鄉,屏東縣|鹽埔鄉,民進黨,DPP,賴清德,0.457700,6587,14392,0.690500
2024,屏東縣,鹽埔鄉,屏東縣|鹽埔鄉,國民黨,KMT,侯友宜,0.318200,4580,14392,0.690500
2024,屏東縣,鹽埔鄉,屏東縣|鹽埔鄉,民眾黨,TPP,柯文哲,0.224100,3225,14392,0.690500
2024,屏東縣,長治鄉,屏東縣|長治鄉,民進黨,DPP,賴清德,0.475800,8697,18278,0.718000
2024,屏東縣,長治鄉,屏東縣|長治鄉,國民黨,KMT,侯友宜,0.299000,5465,18278,0.718000
2024,屏東縣,長治鄉,屏東縣|長治鄉,民眾黨,TPP,柯文哲,0.225200,4116,18278,0.718000
2024,屏東縣,麟洛鄉,屏東縣|麟洛鄉,民進黨,DPP,賴清德,0.537100,3825,7122,0.751300
2024,屏東縣,麟洛鄉,屏東縣|麟洛鄉,國民黨,KMT,侯友宜,0.269000,1916,7122,0.751300
2024,屏東縣,麟洛鄉,屏東縣|麟洛鄉,民眾黨,TPP,柯文哲,0.193900,1381,7122,0.751300
2024,屏東縣,屏東市,屏東縣|屏東市,民進黨,DPP,賴清德,0.433400,50347,116168,0.716600
2024,屏東縣,屏東市,屏東縣|屏東市,國民黨,KMT,侯友宜,0.335300,38951,116168,0.716600
2024,屏東縣,屏東市,屏東縣|屏東市,民眾黨,TPP,柯文哲,0.231300,26870,116168,0.716600
2024,屏東縣,內埔鄉,屏東縣|內埔鄉,民進黨,DPP,賴清德,0.499900,15832,31671,0.692900
2024,屏東縣,內埔鄉,屏東縣|內埔鄉,國民黨,KMT,侯友宜,0.285500,9042,31671,0.692900
2024,屏東縣,內埔鄉,屏東縣|內埔鄉,民眾黨,TPP,柯文哲,0.214600,6797,31671,0.692900
2024,屏東縣,萬丹鄉,屏東縣|萬丹鄉,民進黨,DPP,賴清德,0.519500,15685,30193,0.723700
2024,屏東縣,萬丹鄉,屏東縣|萬丹鄉,國民黨,KMT,侯友宜,0.258600,7808,30193,0.723700
2024,屏東縣,萬丹鄉,屏東縣|萬丹鄉,民眾黨,TPP,柯文哲,0.221900,6700,30193,0.723700
2024,屏東縣,泰武鄉,屏東縣|泰武鄉,民進黨,DPP,賴清德,0.161000,518,3217,0.766300
2024,屏東縣,泰武鄉,屏東縣|泰武鄉,國民黨,KMT,侯友宜,0.572300,1841,3217,0.766300
2024,屏東縣,泰武鄉,屏東縣|泰武鄉,民眾黨,TPP,柯文哲,0.266700,858,3217,0.766300
2024,屏東縣,竹田鄉,屏東縣|竹田鄉,民進黨,DPP,賴清德,0.540500,5576,10317,0.729700
2024,屏東縣,竹田鄉,屏東縣|竹田鄉,國民黨,KMT,侯友宜,0.273800,2825,10317,0.729700
2024,屏東縣,竹田鄉,屏東縣|竹田鄉,民眾黨,TPP,柯文哲,0.185700,1916,10317,0.729700
2024,屏東縣,萬巒鄉,屏東縣|萬巒鄉,民進黨,DPP,賴清德,0.557600,6502,11660,0.702000
2024,屏東縣,萬巒鄉,屏東縣|萬巒鄉,國民黨,KMT,侯友宜,0.250900,2925,11660,0.702000
2024,屏東縣,萬巒鄉,屏東縣|萬巒鄉,民眾黨,TPP,柯文哲,0.191400,2232,11660,0.702000
2024,屏東縣,潮州鎮,屏東縣|潮州鎮,民進黨,DPP,賴清德,0.473000,15018,31751,0.701300
2024,屏東縣,潮州鎮,屏東縣|潮州鎮,國民黨,KMT,侯友宜,0.300700,9548,31751,0.701300
2024,屏東縣,潮州鎮,屏東縣|潮州鎮,民眾黨,TPP,柯文哲,0.226200,7182,31751,0.701300
2024,屏東縣,新園鄉,屏東縣|新園鄉,民進黨,DPP,賴清德,0.572300,11650,20357,0.710000
2024,屏東縣,新園鄉,屏東縣|新園鄉,國民黨,KMT,侯友宜,0.227400,4629,20357,0.710000
2024,屏東縣,新園鄉,屏東縣|新園鄉,民眾黨,TPP,柯文哲,0.200200,4075,20357,0.710000
2024,屏東縣,崁頂鄉,屏東縣|崁頂鄉,民進黨,DPP,賴清德,0.548900,4497,8193,0.710200
2024,屏東縣,崁頂鄉,屏東縣|崁頂鄉,國民黨,KMT,侯友宜,0.248500,2036,8193,0.710200
2024,屏東縣,崁頂鄉,屏東縣|崁頂鄉,民眾黨,TPP,柯文哲,0.202600,1660,8193,0.710200
2024,屏東縣,南州鄉,屏東縣|南州鄉,民進黨,DPP,賴清德,0.549200,3434,6253,0.706200
2024,屏東縣,南州鄉,屏東縣|南州鄉,國民黨,KMT,侯友宜,0.262100,1639,6253,0.706200
2024,屏東縣,南州鄉,屏東縣|南州鄉,民眾黨,TPP,柯文哲,0.188700,1180,6253,0.706200
2024,屏東縣,新埤鄉,屏東縣|新埤鄉,民進黨,DPP,賴清德,0.510200,2916,5715,0.681500
2024,屏東縣,新埤鄉,屏東縣|新埤鄉,國民黨,KMT,侯友宜,0.303800,1736,5715,0.681500
2024,屏東縣,新埤鄉,屏東縣|新埤鄉,民眾黨,TPP,柯文哲,0.186000,1063,5715,0.681500
